data,hora,num,local,ssid,bssid,rssi,canal
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-63,11
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-64,11
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-82,11
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-83,11
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-84,1
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-85,1
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-86,1
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-86,6
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-86,6
27/03/2026,17:06:45,1,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-87,1
27/03/2026,17:06:55,2,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-63,11
27/03/2026,17:06:55,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-63,11
27/03/2026,17:06:55,2,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-83,11
27/03/2026,17:06:55,2,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-84,6
27/03/2026,17:06:55,2,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-84,11
27/03/2026,17:06:55,2,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-85,6
27/03/2026,17:06:55,2,Lab. Informática 09,IFPB,84:F1:47:54:96:E0,-86,1
27/03/2026,17:06:55,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:96:E2,-87,1
27/03/2026,17:06:55,2,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-87,1
27/03/2026,17:06:56,2,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-87,1
27/03/2026,17:06:56,2,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-89,6
27/03/2026,17:06:56,2,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-89,6
27/03/2026,17:07:05,3,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-62,11
27/03/2026,17:07:05,3,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-62,11
27/03/2026,17:07:06,3,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-84,6
27/03/2026,17:07:06,3,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-85,1
27/03/2026,17:07:06,3,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-86,1
27/03/2026,17:07:06,3,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-86,6
27/03/2026,17:07:06,3,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-86,6
27/03/2026,17:07:06,3,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-86,11
27/03/2026,17:07:06,3,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-87,11
27/03/2026,17:07:06,3,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-88,6
27/03/2026,17:07:15,4,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-62,11
27/03/2026,17:07:15,4,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-62,11
27/03/2026,17:07:16,4,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-85,6
27/03/2026,17:07:16,4,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-85,6
27/03/2026,17:07:16,4,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-85,11
27/03/2026,17:07:16,4,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-85,11
27/03/2026,17:07:16,4,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-86,1
27/03/2026,17:07:16,4,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-87,1
27/03/2026,17:07:16,4,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-87,6
27/03/2026,17:07:16,4,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-87,6
27/03/2026,17:07:26,5,Lab. Informática 09,IFPB,84:F1:47:54:7F:20,-59,11
27/03/2026,17:07:26,5,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:7F:22,-60,11
27/03/2026,17:07:26,5,Lab. Informática 09,IFPB-VISITANTE,84:F1:47:54:FD:C2,-84,1
27/03/2026,17:07:26,5,Lab. Informática 09,IFPB,84:F1:47:54:FD:C0,-85,1
27/03/2026,17:07:26,5,Lab. Informática 09,IFPB,B8:11:4B:1D:1E:40,-85,6
27/03/2026,17:07:26,5,Lab. Informática 09,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-85,6
27/03/2026,17:07:26,5,Lab. Informática 09,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-85,11
27/03/2026,17:07:26,5,Lab. Informática 09,IFPB-VISITANTE,2C:57:41:D4:69:C2,-86,6
27/03/2026,17:07:26,5,Lab. Informática 09,IFPB,E4:4E:2D:85:4C:60,-86,11
27/03/2026,17:07:26,5,Lab. Informática 09,IFPB,2C:57:41:D4:69:C0,-87,6
27/03/2026,17:07:49,6,Sala dos técnicos,IFPB,84:F1:47:54:7F:20,-72,11
27/03/2026,17:07:50,6,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:7F:22,-72,11
27/03/2026,17:07:50,6,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:96:E2,-81,1
27/03/2026,17:07:50,6,Sala dos técnicos,IFPB,84:F1:47:54:96:E0,-82,1
27/03/2026,17:07:50,6,Sala dos técnicos,IFPB,84:F1:47:54:F9:80,-84,11
27/03/2026,17:07:50,6,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:FD:C2,-85,1
27/03/2026,17:07:50,6,Sala dos técnicos,IFPB,84:F1:47:54:FD:C0,-85,1
27/03/2026,17:07:50,6,Sala dos técnicos,IFPB,84:F1:47:54:95:E0,-85,11
27/03/2026,17:07:50,6,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:95:E2,-85,11
27/03/2026,17:07:50,6,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:F9:82,-85,11
27/03/2026,17:07:50,6,Sala dos técnicos,IFPB,E4:4E:2D:85:4C:60,-86,11
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB,84:F1:47:54:7F:20,-70,11
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:7F:22,-70,11
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:96:E2,-81,1
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB,84:F1:47:54:96:E0,-82,1
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:95:E2,-83,11
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:F9:82,-83,11
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB,E4:4E:2D:85:4C:60,-83,11
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-83,11
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB,84:F1:47:54:95:E0,-84,11
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB,84:F1:47:54:F9:80,-84,11
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:FD:C2,-87,1
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB,84:F1:47:54:FD:C0,-87,1
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB,2C:57:41:D4:69:C0,-89,6
27/03/2026,17:08:00,7,Sala dos técnicos,IFPB-VISITANTE,2C:57:41:D4:69:C2,-90,6
27/03/2026,17:08:10,8,Sala dos técnicos,IFPB,84:F1:47:54:7F:20,-74,11
27/03/2026,17:08:10,8,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:7F:22,-74,11
27/03/2026,17:08:10,8,Sala dos técnicos,IFPB,84:F1:47:54:96:E0,-75,1
27/03/2026,17:08:10,8,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:96:E2,-75,1
27/03/2026,17:08:10,8,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:FD:C2,-80,1
27/03/2026,17:08:10,8,Sala dos técnicos,IFPB,84:F1:47:54:FD:C0,-81,1
27/03/2026,17:08:10,8,Sala dos técnicos,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-84,11
27/03/2026,17:08:10,8,Sala dos técnicos,IFPB,E4:4E:2D:85:4C:60,-84,11
27/03/2026,17:08:10,8,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:95:E2,-84,11
27/03/2026,17:08:10,8,Sala dos técnicos,IFPB,84:F1:47:54:F9:80,-85,11
27/03/2026,17:08:10,8,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:F9:82,-85,11
27/03/2026,17:08:10,8,Sala dos técnicos,IFPB,84:F1:47:54:95:E0,-85,11
27/03/2026,17:08:20,9,Sala dos técnicos,IFPB,84:F1:47:54:7F:20,-72,11
27/03/2026,17:08:20,9,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:7F:22,-73,11
27/03/2026,17:08:20,9,Sala dos técnicos,IFPB,84:F1:47:54:96:E0,-78,1
27/03/2026,17:08:20,9,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:96:E2,-79,1
27/03/2026,17:08:20,9,Sala dos técnicos,IFPB,E4:4E:2D:85:4C:60,-81,11
27/03/2026,17:08:20,9,Sala dos técnicos,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-82,11
27/03/2026,17:08:20,9,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:FD:C2,-83,1
27/03/2026,17:08:20,9,Sala dos técnicos,IFPB,84:F1:47:54:95:E0,-83,11
27/03/2026,17:08:20,9,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:95:E2,-83,11
27/03/2026,17:08:20,9,Sala dos técnicos,IFPB,84:F1:47:54:F9:80,-83,11
27/03/2026,17:08:20,9,Sala dos técnicos,IFPB,84:F1:47:54:FD:C0,-84,1
27/03/2026,17:08:20,9,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:F9:82,-84,11
27/03/2026,17:08:30,10,Sala dos técnicos,IFPB,84:F1:47:54:7F:20,-71,11
27/03/2026,17:08:30,10,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:7F:22,-71,11
27/03/2026,17:08:30,10,Sala dos técnicos,IFPB,84:F1:47:54:96:E0,-79,1
27/03/2026,17:08:30,10,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:96:E2,-79,1
27/03/2026,17:08:30,10,Sala dos técnicos,IFPB,E4:4E:2D:85:4C:60,-81,11
27/03/2026,17:08:30,10,Sala dos técnicos,IFPB,84:F1:47:54:FD:C0,-82,1
27/03/2026,17:08:31,10,Sala dos técnicos,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-82,11
27/03/2026,17:08:31,10,Sala dos técnicos,IFPB,84:F1:47:54:95:E0,-83,11
27/03/2026,17:08:31,10,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:95:E2,-83,11
27/03/2026,17:08:31,10,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:FD:C2,-84,1
27/03/2026,17:08:31,10,Sala dos técnicos,IFPB,84:F1:47:54:F9:80,-84,11
27/03/2026,17:08:31,10,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:F9:82,-84,11
27/03/2026,17:08:31,10,Sala dos técnicos,IFPB-VISITANTE,84:F1:47:54:71:02,-90,1
27/03/2026,17:08:57,11,Lab. de telecomunicações,IFPB,84:F1:47:54:7F:20,-70,11
27/03/2026,17:08:57,11,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:7F:22,-70,11
27/03/2026,17:08:57,11,Lab. de telecomunicações,IFPB,84:F1:47:54:FD:C0,-78,1
27/03/2026,17:08:57,11,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:FD:C2,-78,1
27/03/2026,17:08:57,11,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:95:E2,-86,11
27/03/2026,17:08:57,11,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:96:E2,-87,1
27/03/2026,17:08:57,11,Lab. de telecomunicações,IFPB,E4:4E:2D:85:4C:60,-87,11
27/03/2026,17:08:57,11,Lab. de telecomunicações,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-87,11
27/03/2026,17:08:57,11,Lab. de telecomunicações,IFPB,84:F1:47:54:95:E0,-87,11
27/03/2026,17:08:57,11,Lab. de telecomunicações,IFPB,84:F1:47:54:96:E0,-88,1
27/03/2026,17:08:57,11,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:71:02,-89,1
27/03/2026,17:08:57,11,Lab. de telecomunicações,IFPB-VISITANTE,B8:11:4B:1D:1E:42,-89,6
27/03/2026,17:09:07,12,Lab. de telecomunicações,IFPB,84:F1:47:54:7F:20,-69,11
27/03/2026,17:09:07,12,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:7F:22,-69,11
27/03/2026,17:09:07,12,Lab. de telecomunicações,IFPB,84:F1:47:54:FD:C0,-78,1
27/03/2026,17:09:07,12,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:FD:C2,-79,1
27/03/2026,17:09:08,12,Lab. de telecomunicações,IFPB,84:F1:47:54:95:E0,-85,11
27/03/2026,17:09:08,12,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:95:E2,-85,11
27/03/2026,17:09:08,12,Lab. de telecomunicações,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-86,11
27/03/2026,17:09:08,12,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:96:E2,-87,1
27/03/2026,17:09:08,12,Lab. de telecomunicações,IFPB,E4:4E:2D:85:4C:60,-87,11
27/03/2026,17:09:08,12,Lab. de telecomunicações,IFPB,84:F1:47:54:96:E0,-88,1
27/03/2026,17:09:08,12,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:71:02,-89,1
27/03/2026,17:09:08,12,Lab. de telecomunicações,IFPB,84:F1:47:54:71:00,-91,1
27/03/2026,17:09:18,13,Lab. de telecomunicações,IFPB,84:F1:47:54:7F:20,-70,11
27/03/2026,17:09:18,13,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:7F:22,-70,11
27/03/2026,17:09:18,13,Lab. de telecomunicações,IFPB,84:F1:47:54:FD:C0,-77,1
27/03/2026,17:09:18,13,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:FD:C2,-77,1
27/03/2026,17:09:18,13,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:96:E2,-85,1
27/03/2026,17:09:18,13,Lab. de telecomunicações,IFPB,84:F1:47:54:95:E0,-85,11
27/03/2026,17:09:18,13,Lab. de telecomunicações,IFPB,84:F1:47:54:96:E0,-86,1
27/03/2026,17:09:18,13,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:95:E2,-86,11
27/03/2026,17:09:18,13,Lab. de telecomunicações,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-91,11
27/03/2026,17:09:28,14,Lab. de telecomunicações,IFPB,84:F1:47:54:7F:20,-68,11
27/03/2026,17:09:28,14,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:7F:22,-68,11
27/03/2026,17:09:28,14,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:FD:C2,-78,1
27/03/2026,17:09:28,14,Lab. de telecomunicações,IFPB,84:F1:47:54:FD:C0,-79,1
27/03/2026,17:09:28,14,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:95:E2,-85,11
27/03/2026,17:09:28,14,Lab. de telecomunicações,IFPB,84:F1:47:54:95:E0,-86,11
27/03/2026,17:09:28,14,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1
27/03/2026,17:09:28,14,Lab. de telecomunicações,IFPB,84:F1:47:54:96:E0,-88,1
27/03/2026,17:09:38,15,Lab. de telecomunicações,IFPB,84:F1:47:54:7F:20,-68,11
27/03/2026,17:09:38,15,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:7F:22,-69,11
27/03/2026,17:09:38,15,Lab. de telecomunicações,IFPB,84:F1:47:54:FD:C0,-77,1
27/03/2026,17:09:38,15,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:FD:C2,-77,1
27/03/2026,17:09:38,15,Lab. de telecomunicações,IFPB,E4:4E:2D:85:4C:60,-86,11
27/03/2026,17:09:38,15,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:96:E2,-87,1
27/03/2026,17:09:38,15,Lab. de telecomunicações,IFPB,84:F1:47:54:95:E0,-87,11
27/03/2026,17:09:38,15,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:95:E2,-87,11
27/03/2026,17:09:38,15,Lab. de telecomunicações,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-87,11
27/03/2026,17:09:38,15,Lab. de telecomunicações,IFPB,84:F1:47:54:71:00,-89,1
27/03/2026,17:09:38,15,Lab. de telecomunicações,IFPB-VISITANTE,84:F1:47:54:71:02,-90,1
27/03/2026,17:10:08,16,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:95:E2,-63,11
27/03/2026,17:10:08,16,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:95:E0,-64,11
27/03/2026,17:10:08,16,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:F9:80,-78,11
27/03/2026,17:10:08,16,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:F9:82,-79,11
27/03/2026,17:10:08,16,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:FD:C2,-82,1
27/03/2026,17:10:08,16,Coordenação de Eng. Elétrica,IFPB,B8:11:4B:1D:14:80,-83,6
27/03/2026,17:10:08,16,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:FD:C0,-84,1
27/03/2026,17:10:08,16,Coordenação de Eng. Elétrica,IFPB-VISITANTE,B8:11:4B:1D:14:82,-85,6
27/03/2026,17:10:08,16,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:96:E0,-87,1
27/03/2026,17:10:08,16,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:96:E2,-87,1
27/03/2026,17:10:18,17,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:95:E2,-61,11
27/03/2026,17:10:18,17,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:95:E0,-62,11
27/03/2026,17:10:18,17,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:F9:80,-81,11
27/03/2026,17:10:18,17,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:F9:82,-81,11
27/03/2026,17:10:18,17,Coordenação de Eng. Elétrica,IFPB-VISITANTE,B8:11:4B:1D:14:82,-85,6
27/03/2026,17:10:18,17,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:FD:C0,-86,1
27/03/2026,17:10:18,17,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:FD:C2,-86,1
27/03/2026,17:10:18,17,Coordenação de Eng. Elétrica,IFPB,B8:11:4B:1D:14:80,-86,6
27/03/2026,17:10:28,18,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:95:E0,-69,11
27/03/2026,17:10:28,18,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:95:E2,-69,11
27/03/2026,17:10:28,18,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:FD:C2,-84,1
27/03/2026,17:10:28,18,Coordenação de Eng. Elétrica,IFPB,B8:11:4B:1D:14:80,-84,6
27/03/2026,17:10:28,18,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:FD:C0,-85,1
27/03/2026,17:10:28,18,Coordenação de Eng. Elétrica,IFPB-VISITANTE,B8:11:4B:1D:14:82,-85,6
27/03/2026,17:10:28,18,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:F9:82,-85,11
27/03/2026,17:10:28,18,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:F9:80,-85,11
27/03/2026,17:10:38,19,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:95:E2,-68,11
27/03/2026,17:10:38,19,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:95:E0,-69,11
27/03/2026,17:10:38,19,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:F9:80,-80,11
27/03/2026,17:10:39,19,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:F9:82,-80,11
27/03/2026,17:10:39,19,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:FD:C0,-83,1
27/03/2026,17:10:39,19,Coordenação de Eng. Elétrica,IFPB-VISITANTE,B8:11:4B:1D:14:82,-83,6
27/03/2026,17:10:39,19,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:FD:C2,-84,1
27/03/2026,17:10:39,19,Coordenação de Eng. Elétrica,IFPB,B8:11:4B:1D:14:80,-85,6
27/03/2026,17:10:48,20,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:95:E0,-63,11
27/03/2026,17:10:48,20,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:95:E2,-63,11
27/03/2026,17:10:49,20,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:F9:80,-80,11
27/03/2026,17:10:49,20,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:F9:82,-80,11
27/03/2026,17:10:49,20,Coordenação de Eng. Elétrica,IFPB,B8:11:4B:1D:14:80,-83,6
27/03/2026,17:10:49,20,Coordenação de Eng. Elétrica,IFPB-VISITANTE,B8:11:4B:1D:14:82,-84,6
27/03/2026,17:10:49,20,Coordenação de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:FD:C2,-89,1
27/03/2026,17:10:49,20,Coordenação de Eng. Elétrica,IFPB,84:F1:47:54:FD:C0,-89,1
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:8B:A2,-79,11
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB,84:F1:47:54:8B:A0,-80,11
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB,84:F1:47:54:F9:80,-81,11
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:F9:82,-82,11
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB,84:F1:47:54:6B:80,-84,1
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:6B:82,-85,1
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB,E4:4E:2D:85:4C:60,-86,11
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB,84:F1:47:54:96:E0,-87,1
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB,24:36:DA:2B:5E:C0,-87,1
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB-VISITANTE,24:36:DA:2B:5E:C2,-87,1
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:EB:22,-87,6
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB,84:F1:47:54:EB:20,-87,6
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:96:E2,-88,1
27/03/2026,17:11:34,21,Auditório de Eng. Elétrica,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-88,11
27/03/2026,17:11:44,22,Auditório de Eng. Elétrica,IFPB,84:F1:47:54:8B:A0,-79,11
27/03/2026,17:11:44,22,Auditório de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:8B:A2,-79,11
27/03/2026,17:11:44,22,Auditório de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:F9:82,-80,11
27/03/2026,17:11:44,22,Auditório de Eng. Elétrica,IFPB,84:F1:47:54:6B:80,-81,1
27/03/2026,17:11:44,22,Auditório de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:6B:82,-81,1
27/03/2026,17:11:44,22,Auditório de Eng. Elétrica,IFPB,84:F1:47:54:F9:80,-81,11
27/03/2026,17:11:44,22,Auditório de Eng. Elétrica,IFPB,24:36:DA:2B:5E:C0,-87,1
27/03/2026,17:11:44,22,Auditório de Eng. Elétrica,IFPB-VISITANTE,24:36:DA:2B:5E:C2,-87,1
27/03/2026,17:11:45,22,Auditório de Eng. Elétrica,IFPB-VISITANTE,E4:4E:2D:85:4C:62,-87,11
27/03/2026,17:11:45,22,Auditório de Eng. Elétrica,IFPB,E4:4E:2D:85:4C:60,-88,11
27/03/2026,17:11:45,22,Auditório de Eng. Elétrica,IFPB,24:36:DA:2B:BC:00,-89,6
27/03/2026,17:11:54,23,Auditório de Eng. Elétrica,IFPB,84:F1:47:54:F9:80,-79,11
27/03/2026,17:11:54,23,Auditório de Eng. Elétrica,IFPB-VISITANTE,84:F1:47:54:F9:82,-79,11
